0,Wave
0.3896104,Wave
0.7792208,Wave
1.168831,Wave
1.558442,Wave
1.948052,Wave
2.337662,Wave
2.727273,Wave
3.116883,Wave
3.506493,Wave
3.896104,Wave
4.285714,Wave
4.675324,Wave
5.064935,Wave
5.454545,Wave
5.844156,Wave
6.233766,Wave
6.623376,Wave
7.012987,Wave
7.402597,Wave
7.792208,Wave
8.181818,Wave
8.571428,Wave
8.961039,Wave
9.350649,Wave
9.740259,Wave
10.12987,Wave
10.51948,Wave
10.90909,Wave
11.2987,Wave
11.68831,Wave
12.07792,Wave
12.46753,Wave
12.85714,Wave
13.24675,Wave
13.63636,Wave
14.02597,Wave
14.41558,Wave
14.80519,Wave
15.19481,Wave
15.58442,Wave
15.97403,Wave
16.36364,Wave
16.75325,Wave
17.14286,Wave
17.53247,Wave
17.92208,Wave
18.31169,Wave
18.7013,Wave
19.09091,Wave
19.48052,Wave
19.87013,Wave
20.25974,Wave
20.64935,Wave
21.03896,Wave
21.42857,Wave
21.81818,Wave
22.20779,Wave
22.5974,Wave
22.98701,Wave
23.37662,Wave
23.76623,Wave
24.15584,Wave
24.54545,Wave
24.93506,Wave
25.32467,Wave
25.71428,Wave
26.1039,Wave
26.49351,Wave
26.88312,Wave
27.27273,Wave
27.66234,Wave
28.05195,Wave
28.44156,Wave
28.83117,Wave
29.22078,Wave
29.61039,Wave
30,Wave
30.38961,Wave
30.77922,Wave
31.16883,Wave
31.55844,Wave
31.94805,Wave
32.33766,Wave
32.72727,Wave
33.11688,Wave
33.50649,Wave
33.8961,Wave
34.28571,Wave
34.67532,Wave
35.06493,Wave
35.45454,Wave
35.84415,Wave
36.23376,Wave
36.62337,Wave
37.01299,Wave
37.4026,Wave
37.79221,Wave
38.18182,Wave
38.57143,Wave
38.96104,Wave
39.35065,Wave
39.74026,Wave
40.12987,Wave
40.51948,Wave
40.90909,Wave
41.2987,Wave
41.68831,Wave
42.07792,Wave
42.46753,Wave
42.85714,Wave
43.24675,Wave
43.63636,Wave
44.02597,Wave
44.41558,Wave
44.80519,Wave
45.19481,Wave
45.58442,Wave
45.97403,Wave
46.36364,Wave
46.75325,Wave
47.14286,Wave
